192.168.1.152 - - [24/Sep/2022:22:22:21 +0100] "GET /repository/maven-public/io/smallrye/config/smallrye-config/1.10.2/smallrye-config-1.10.2.pom.sha1 HTTP/1.1" 200 - 40 134 "Apache-Maven/3.8.1 (Java 17.0.4.1; Windows 11 10.0)" [qtp25968142-110]
192.168.1.152 - - [24/Sep/2022:22:22:21 +0100] "GET /repository/maven-public/io/smallrye/config/smallrye-config-parent/1.10.2/smallrye-config-parent-1.10.2.pom HTTP/1.1" 200 - 8915 177 "Apache-Maven/3.8.1 (Java 17.0.4.1; Windows 11 10.0)" [qtp25968142-111]
192.168.1.152 - - [24/Sep/2022:22:22:21 +0100] "GET /repository/maven-public/io/smallrye/config/smallrye-config-parent/1.10.2/smallrye-config-parent-1.10.2.pom.sha1 HTTP/1.1" 200 - 40 138 "Apache-Maven/3.8.1 (Java 17.0.4.1; Windows 11 10.0)" [qtp25968142-107]
192.168.1.152 - - [24/Sep/2022:22:22:22 +0100] "GET /repository/maven-public/io/smallrye/smallrye-parent/23/smallrye-parent-23.pom HTTP/1.1" 200 - 53243 223 "Apache-Maven/3.8.1 (Java 17.0.4.1; Windows 11 10.0)" [qtp25968142-110]
192.168.1.152 - - [24/Sep/2022:22:22:22 +0100] "GET /repository/maven-public/io/smallrye/smallrye-parent/23/smallrye-parent-23.pom.sha1 HTTP/1.1" 200 - 40 134 "Apache-Maven/3.8.1 (Java 17.0.4.1; Windows 11 10.0)" [qtp25968142-111]
192.168.1.152 - - [24/Sep/2022:22:22:22 +0100] "GET /repository/maven-public/io/smallrye/common/smallrye-common-annotation/1.5.0/smallrye-common-annotation-1.5.0.pom HTTP/1.1" 200 - 1168 170 "Apache-Maven/3.8.1 (Java 17.0.4.1; Windows 11 10.0)" [qtp25968142-107]
192.168.1.152 - - [24/Sep/2022:22:22:22 +0100] "GET /repository/maven-public/io/smallrye/common/smallrye-common-annotation/1.5.0/smallrye-common-annotation-1.5.0.pom.sha1 HTTP/1.1" 200 - 40 166 "Apache-Maven/3.8.1 (Java 17.0.4.1; Windows 11 10.0)" [qtp25968142-110]
192.168.1.152 - - [24/Sep/2022:22:22:23 +0100] "GET /repository/maven-public/io/smallrye/common/smallrye-common-parent/1.5.0/smallrye-common-parent-1.5.0.pom HTTP/1.1" 200 - 6734 179 "Apache-Maven/3.8.1 (Java 17.0.4.1; Windows 11 10.0)" [qtp25968142-111]
192.168.1.152 - - [24/Sep/2022:22:22:23 +0100] "GET /repository/maven-public/io/smallrye/common/smallrye-common-parent/1.5.0/smallrye-common-parent-1.5.0.pom.sha1 HTTP/1.1" 200 - 40 129 "Apache-Maven/3.8.1 (Java 17.0.4.1; Windows 11 10.0)" [qtp25968142-107]
192.168.1.152 - - [24/Sep/2022:22:22:23 +0100] "GET /repository/maven-public/io/smallrye/config/smallrye-config-common/1.10.2/smallrye-config-common-1.10.2.pom HTTP/1.1" 200 - 1690 118 "Apache-Maven/3.8.1 (Java 17.0.4.1; Windows 11 10.0)" [qtp25968142-110]
192.168.1.152 - - [24/Sep/2022:22:22:23 +0100] "GET /repository/maven-public/io/smallrye/config/smallrye-config-common/1.10.2/smallrye-config-common-1.10.2.pom.sha1 HTTP/1.1" 200 - 40 102 "Apache-Maven/3.8.1 (Java 17.0.4.1; Windows 11 10.0)" [qtp25968142-111]
192.168.1.152 - - [24/Sep/2022:22:22:23 +0100] "GET /repository/maven-public/io/smallrye/common/smallrye-common-classloader/1.5.0/smallrye-common-classloader-1.5.0.pom HTTP/1.1" 200 - 2141 205 "Apache-Maven/3.8.1 (Java 17.0.4.1; Windows 11 10.0)" [qtp25968142-107]
192.168.1.152 - - [24/Sep/2022:22:22:23 +0100] "GET /repository/maven-public/io/smallrye/common/smallrye-common-classloader/1.5.0/smallrye-common-classloader-1.5.0.pom.sha1 HTTP/1.1" 200 - 40 142 "Apache-Maven/3.8.1 (Java 17.0.4.1; Windows 11 10.0)" [qtp25968142-110]
192.168.1.152 - - [24/Sep/2022:22:22:24 +0100] "GET /repository/maven-public/io/smallrye/common/smallrye-common-expression/1.5.0/smallrye-common-expression-1.5.0.pom HTTP/1.1" 200 - 2204 159 "Apache-Maven/3.8.1 (Java 17.0.4.1; Windows 11 10.0)" [qtp25968142-111]
192.168.1.152 - - [24/Sep/2022:22:22:24 +0100] "GET /repository/maven-public/io/smallrye/common/smallrye-common-expression/1.5.0/smallrye-common-expression-1.5.0.pom.sha1 HTTP/1.1" 200 - 40 171 "Apache-Maven/3.8.1 (Java 17.0.4.1; Windows 11 10.0)" [qtp25968142-107]
192.168.1.152 - - [24/Sep/2022:22:22:24 +0100] "GET /repository/maven-public/io/smallrye/common/smallrye-common-function/1.5.0/smallrye-common-function-1.5.0.pom HTTP/1.1" 200 - 1627 160 "Apache-Maven/3.8.1 (Java 17.0.4.1; Windows 11 10.0)" [qtp25968142-110]
192.168.1.152 - - [24/Sep/2022:22:22:24 +0100] "GET /repository/maven-public/io/smallrye/common/smallrye-common-function/1.5.0/smallrye-common-function-1.5.0.pom.sha1 HTTP/1.1" 200 - 40 186 "Apache-Maven/3.8.1 (Java 17.0.4.1; Windows 11 10.0)" [qtp25968142-111]
192.168.1.152 - - [24/Sep/2022:22:22:24 +0100] "GET /repository/maven-public/io/smallrye/common/smallrye-common-constraint/1.5.0/smallrye-common-constraint-1.5.0.pom HTTP/1.1" 200 - 1924 178 "Apache-Maven/3.8.1 (Java 17.0.4.1; Windows 11 10.0)" [qtp25968142-107]
192.168.1.152 - - [24/Sep/2022:22:22:25 +0100] "GET /repository/maven-public/io/smallrye/common/smallrye-common-constraint/1.5.0/smallrye-common-constraint-1.5.0.pom.sha1 HTTP/1.1" 200 - 40 130 "Apache-Maven/3.8.1 (Java 17.0.4.1; Windows 11 10.0)" [qtp25968142-110]
